,qlabel,lemmas,instruction,category
26,NULL,(),"Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter.",classification
27,NULL,(),"Identify which instrument is string or woodwind: Panduri, Zurna",classification
28,WHQ,"('what', 'be')",What is the average lifespan of a Golden Retriever?,information_extraction
29,WHQ,"('who', 'become')",Who became king of Holland in 1806?,open_qa
30,WHQ,"('what', 'be')",What is best Playstation or Xbox,general_qa
31,WHQ,"('who', 'play')",Who played Billy the Kid in The Left Handed Gun,open_qa
32,WHQ,"('why', 'do')",why did Syd Barrett left the Pink Floyd?,open_qa
33,WHQ,"('what', 'be')",what is REST API,general_qa
34,WHQ,"('what', 'be')",What is underwriting?,open_qa
35,NULL,(),Give me a list of some characteristics of a good coffee shop?,brainstorming
36,NULL,(),Please summarize what Linkedin does.,summarization
37,WHQ,"('who', 'save')",Who saved Andromeda from the sea monster,open_qa
38,WHQ,"('how', 'can')",How can I contribute to Spark?,general_qa
39,WHQ,"('who', 'be')","Who are ''The Lumières"" ?",open_qa
40,NULL,(),Using examples taken from the text give me a summary of the main arguments in favour of slavery reparations in the United States and the anticipated cost of enacting such reparations,summarization
41,WHQ,"('when', 'be')",When was the wheel invented?,open_qa
42,NULL,(),write a scene between two actors discussing movie Inception,creative_writing
43,DOQ,"('do', 'dinosaur')",Did dinosaurs have lips?,general_qa
44,QIS,"('be', 'lily')",Are lilies safe for cats?,open_qa
45,WHQ,"('what', 'be')",What is Sunshine Recession?,open_qa
46,WHQ,"('what', 'be')",What is the currency in use in the Netherlands?,open_qa
47,WHQ,"('what', 'be')",What is the best tv series in the world,brainstorming
48,WHQ,"('who', 'be')",Who was the first to record the Needles and Pins song?,closed_qa
49,NULL,(),Provide me a list of the different types of harnesses used in rock climbing,summarization
50,NULL,(),Think of some family rules to promote a healthy family relationship,brainstorming
51,NULL,(),"In the series A Song of Ice and Fire, who is the founder of House Karstark?",open_qa
52,WHQ,"('what', 'be')",What is enriched air and why would divers dive with enriched air?,general_qa
53,WHQ,"('what', 'win')",What film won the 1943 Oscar as best film,open_qa
54,WHQ,"('which', 'weigh')","which weighs more, cold or hot water?",open_qa
55,NULL,(),"Given this paragraph, what is the top speed of a Kia Stinger?",closed_qa
56,NULL,(),Write a short paragraph about why you should not have both a pet cat and a pet bird.,creative_writing
57,WHQ,"('what', 'be')",What is your favorite strip from the comic Calvin and Hobbes?,general_qa
58,WHQ,"('what', 'make')",What makes a formula one car so fast?,open_qa
59,NULL,(),Without quoting directly from the text give me a summary of the history of the Key Lime Pie.,summarization
60,WHQ,"('what', 'be')",What is LAPR?,open_qa
61,QIS,"('be', 'beauty')",Is beauty objective or subjective?,general_qa
62,NULL,(),"Identify which instrument is string or percussion: Kpanlogo, Shamisen",classification
63,WHQ,"('why', 'do')",Why do potato chip bags become stale after opening?,general_qa
64,NULL,(),Classify each of the following as a primary color or a secondary color,classification
65,WHQ,"('where', 'be')",Where are the British Virgin Islands (BVI) and which islands are a part of the BVI?,closed_qa
66,DOQ,"('do', 'outbreeding')","Does ""outbreeding"" or ""inbreeding"" benefit the offspring more?",closed_qa
67,WHQ,"('what', 'be')",What is the future for human?,general_qa
68,NULL,(),Name some of the bravolebrities from Vanderpump Rules,open_qa
69,NULL,(),Name some famous rock bands from the 1960s,open_qa
70,WHQ,"('who', 'be')",Who is Muhammad Ejaz Shafi,summarization
71,WHQ,"('who', 'invent')",Who invented the telephone?,open_qa
72,WHQ,"('who', 'be')",Who are the Smiths?,summarization
73,NULL,(),Give me five ways in which I can make my homebrew beer more interesting,brainstorming
74,NULL,(),How many Grammy Awards has Bad Bunny won?,open_qa
75,WHQ,"('when', 'be')",When was the first Reading railway station opened?,closed_qa
76,WHQ,"('what', 'be')",What is HiFI?,information_extraction
77,WHQ,"('what', 'be')",What is a brown eared pheasant?,summarization
78,NULL,(),"Which of these are rappers? Eminem, Michael Jackson, Rihanna, 50 Cent",classification
79,QIS,"('be', 'Hamilton')",Is it true that Lewis Hamilton won the championship in his first F1 season?,summarization
80,WHQ,"('what', 'be')",What are some kinds of embroidery stitches for writing letters?,brainstorming
81,WHQ,"('what', 'be')",What are the most common injuries in rowing?,summarization
82,WHQ,"('what', 'be')",What is a kite?,open_qa
83,NULL,(),"Classify each of the following pieces of equipment according to the sport they are used for, either basketball, football, or soccer: shin guards, shooting sleeve, penalty flag, corner flag, kicking tee, and goalie gloves.",classification
84,NULL,(),"Given this paragraph about Billie Eilish, tell me who produced her debut single, also tell me what is her chart-topping single?",closed_qa
85,WHQ,"('what', 'be')",What is a good way to get around without a car?,brainstorming
86,NULL,(),"Identify which animal species is alive or extinct: Palaeophis, Giant Tortoise",classification
87,WHQ,"('why', 'be')","Why is Santa Cruz, California a great place to live?",general_qa
88,NULL,(),Give me some ideas to manage my manager.,brainstorming
89,WHQ,"('who', 'be')",Who was boxer John Baldwin,information_extraction
90,NULL,(),"Identify which instrument is string or percussion: Samphor, Viola toeria",classification
91,NULL,(),"If we were playing a game where we had to identify things that can be found inside a house, which of these would we call out: car, chair, table, park, cloud, microwave.",classification
92,NULL,(),"Classify the following as either dark-colored beers or light colored beers: porter, pilsner, stout, amber, lager",classification
93,NULL,(),Give me a bulleted list of the 5 highest mountains in the world and their respective heights in meters,brainstorming
94,NULL,(),Extract all of the dates mentioned in this paragraph and list them using bullets in the format {Date} - {Description},information_extraction
95,WHQ,"('which', 'sell')",Which products apple sell?,general_qa
96,NULL,(),Write a short story about a person who discovers a hidden room in their house. The story should include a plot twist and a clear resolution at the end.,creative_writing
97,NULL,(),Please describe  what is oil and give me a list of it’s applications.,summarization
98,NULL,(),List 6 different types of rain in Seattle,brainstorming
99,WHQ,"('what', 'be')",What is investment banking?,open_qa
100,NULL,(),I started a new company named Greystone Inc. What do we do?,brainstorming
101,NULL,(),Tell me whether or not these foods are on EWG's dirty dozen list,classification
102,NULL,(),How much music theory knowledge is required to compose music?,general_qa
103,NULL,(),"Categorize each of the following instruments as either string or keyboard: Guitar, Violin, piano, harmonium, cello, accordion, banjo",classification
104,NULL,(),Summarize in one sentence this article about a famous song.,summarization
105,WHQ,"('what', 'be')",What is the Maareech Advanced Torpedo Defence System (ATDS)?,information_extraction
106,NULL,(),Change the following passage to past tense,information_extraction
107,WHQ,"('what', 'be')",What is the tallest mountain in the continental US?,general_qa
108,WHQ,"('who', 'be')",Who is Shoji Hashimoto?,information_extraction
109,WHQ,"('what', 'be')",What are some of the best comedy movies of the 1980's?,open_qa
110,NULL,(),In golf what do the Americans call an albatross,open_qa
111,WHQ,"('what', 'be')",What are common ingredients of a full english breakfast?,classification
112,NULL,(),"Plan for a three day road trip for May long weekend from Westfield, New Jersey",creative_writing
113,WHQ,"('how', 'do')",How do you operate a car with a manual transmission?,general_qa
114,WHQ,"('what', 'be')",What is the Research Collaboratory for Structural Bioinformatics Protein Data Bank (RCSB PDB)?,open_qa
115,WHQ,"('what', 'be')",What are 5 potential uses for an empty La Croix can?,brainstorming
116,WHQ,"('what', 'be')","What is the name of the Winslow's nerdy next-door neighbor on the TV show ""Family Matters""?",open_qa
117,WHQ,"('why', 'be')",Why are so many US Hollywood films made in the state of Georgia?,open_qa
118,NULL,(),How many managers have Arsenal had?,closed_qa
119,WHQ,"('what', 'be')",What is SVM?,closed_qa
120,WHQ,"('what', 'be')",What is the current capital of Japan?,information_extraction
121,WHQ,"('what', 'be')",What are some tools that every homeowner should have?,open_qa
122,WHQ,"('what', 'be')",What is an apple?,open_qa
123,NULL,(),write a short essay on California wild fire,creative_writing
124,NULL,(),Tell me about the 2017 Southeastern Conference football season,summarization
125,WHQ,"('who', 'score')",Who scored first in Austin FC's first victory in a home game in the 2021 MLS season?,closed_qa
126,NULL,(),"Classify each of the following as either a bird, animal, reptile or insect: tiger, heron, eagle, alligator, snake, spider, ant, dog, cat, rhinoceros, kingfisher, chameleon, hornet, butterfly",classification
127,WHQ,"('what', 'be')",What are some different things you should bring with you on a day hiking trip?,brainstorming
128,WHQ,"('how', 'do')",How long does it take for a mustard seed to germinate?,closed_qa
129,WHQ,"('which', 'be')",Which is a species of fish? Sea dragon or Red bearded,classification
130,NULL,(),"Categorize where each of these household items belong: bed, couch, desk",classification
131,NULL,(),"Separate the following suburbs into those that border, and do not border, the Brisbane River: Indooroopilly, Bulimba, St Lucia, Newstead, Wilston, West End, Toowong, Bowen Hills and, Wooloongabba.",classification
132,WHQ,"('what', 'be')",What are AirPods?,general_qa
133,WHQ,"('what', 'be')",What is the difference between pets and cattle?,open_qa
134,WHQ,"('how', 'do')",How do I put a bouquet of fresh flowers in a vase?,open_qa
135,WHQ,"('what', 'should')",What should I do on a free afternoon in San Francisco?,creative_writing
136,NULL,(),"Identify which instrument is string or woodwind: Janzi, Gemshorn",classification
137,NULL,(),"Identify which animal species is alive or extinct: Pliosaur, Marine Iguana",classification
138,WHQ,"('what', 'be')",What is the origin of the name of the herb Rosemary?,closed_qa
139,NULL,(),"Classify each of the following as either a title by Isaac Asimov or Jules Verne: Pebble in the Sky, The Stars, Like Dust, Foundation, The Robots of Dawn, The Naked Sun, Around the World in Eighty Days, From the Earth to the Moon, Martin Paz, Journey to the Centre of the Earth, A Drama in the Air",classification
140,NULL,(),Wat id DNA annotation?,open_qa
141,WHQ,"('who', 'be')",Who were Jaehaerys I Targaryen's children?,open_qa
142,NULL,(),"In SQL, how can I filter table rows based on a column condition?",general_qa
143,WHQ,"('who', 'be')",Who were the ten best baseball players in the history of the Boston Red Sox?,brainstorming
144,WHQ,"('what', 'make')",What makes the world go around?,general_qa
145,WHQ,"('who', 'coin')","Who coined the phrase ""Bike-shedding"" and when?",closed_qa
146,WHQ,"('who', 'be')",Who is the best Formula 1 driver,general_qa
147,WHQ,"('what', 'be')",What is Share capital in finance?,open_qa
148,NULL,(),Give me some Mother's Day gift ideas.,general_qa
149,NULL,(),Give me a list of ways that a runner can advance a base in baseball without there being a hit.,brainstorming
150,WHQ,"('what', 'be')",What are the types of RVs?,general_qa
151,NULL,(),List the weapons of Goddess Durga in a comma separated manner.,information_extraction
152,WHQ,"('what', 'be')",What shapes are made up of straight lines?,brainstorming
153,NULL,(),"Choose the word which is different from the rest: hangar, platform, dock, park, bus stand",classification
154,QIS,"('be', 'Smiths')",Are The Smiths a good band?,general_qa
155,WHQ,"('what', 'be')",What is an EV?,general_qa
156,NULL,(),"Given a reference text about Run Towards the Danger, tell me how many essays are part of the collection.",closed_qa
157,NULL,(),Name 10 colors,brainstorming
158,WHQ,"('what', 'be')",What is game of Cricket?,summarization
159,NULL,(),How much of American wine is produced in California?,open_qa
160,NULL,(),"As a golfer, how can I fix my slice?",general_qa
161,WHQ,"('who', 'tend')",Who tends to participates in hackathons?,closed_qa
162,NULL,(),Which community of users on Twitter has the most 8-dollar-a-month verification?,brainstorming
163,NULL,(),"Tell me whether these people are DJs or singers: David Guetta, Avicii, Rihanna, Beyonce, Martin Garrix, Calvin Harris, Taylor Swift",classification
164,WHQ,"('what', 'be')",What’s a typical dish in Brazil?,general_qa
165,WHQ,"('how', 'should')",How should I invest my money?,general_qa
166,WHQ,"('where', 'be')",Where is the village of Congosto,summarization
167,NULL,(),Name the three best professional sports teams based in California.,open_qa
168,WHQ,"('what', 'be')",What is Marketing Automation?,closed_qa
169,WHQ,"('what', 'be')",What are some ways to improve the value of your home?,brainstorming
170,NULL,(),Tell me an idea for a film based off of the cartoon movie Cars but incorporate self-driving cars.,creative_writing
171,WHQ,"('which', 'speak')",Which American president spoke Dutch as their first language?,closed_qa
172,NULL,(),How many planets are there?,general_qa
173,NULL,(),Help me come up with 3 ideas for a new business and how I can start it,brainstorming
174,NULL,(),Tomb of Sand  was translated from Hindi to English by,open_qa
175,WHQ,"('what', 'be')","What is more important in society, freedom or safety?",creative_writing
176,NULL,(),"Given this reference text about the consumption of peanut butter, when is national peanut butter day?",closed_qa
177,WHQ,"('what', 'be')",What are good activities for two year old boys?,general_qa
178,NULL,(),How many compute services does Azure Synapse have?,open_qa
179,WHQ,"('what', 'do')",What does fasting mean?,closed_qa
180,NULL,(),How many times Lewis Hamilton won the F1 Championship ?,brainstorming
181,WHQ,"('what', 'happen')",What happens when you bring flammable objects closer to a fire source or extreme heat?,open_qa
182,NULL,(),Give me a list of the last five european golden boots winner And tell me how many goals they scored.,brainstorming
183,NULL,(),"Identify which instrument is string or percussion: Den-den daiko, Luc huyen cam",classification
184,NULL,(),"Pick if these would be useful or not useful for a high school student to put in their backpack. Notebooks, textbook, desk lamp, pencil pouch, beach ball, pillow, laptop.",classification
185,WHQ,"('what', 'be')",What is the largest city on the Mississippi River?,information_extraction
186,WHQ,"('what', 'be')",What is the city of Denver like?,general_qa
187,NULL,(),Provide a list of all numbers mentioned in the provided text and what they represent,information_extraction
188,WHQ,"('what', 'be')",What are the differences between the New York Giants and New York Jets?,open_qa
189,QIS,"('be', 'Hill')",Was Furze Hill an established community in the 19th century?,closed_qa
190,NULL,(),Should you buy new golf clubs when you are a beginner?,brainstorming
191,WHQ,"('why', 'should')",Why should I use fabric softener?,information_extraction
192,NULL,(),The former Chairman of Tata Sons died in road accident  en route  from where?,open_qa
193,NULL,(),"Please classify each of the following animals as mammal, amphibian, or fish: elk, frog, dog, cat, newt, and human.",classification
194,NULL,(),"Classify the following numbers as 'prime' or 'composite' - 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16.",classification
195,NULL,(),Summarize the rulers of the territory of Albania in this time period.,summarization
196,WHQ,"('what', 'be')",What is cloud computing in simple terms?,general_qa
197,WHQ,"('what', 'be')",What is one year?,open_qa
198,NULL,(),What types of sport fish do most anglers target in New England?,general_qa
199,NULL,(),Give me a bunch of ways I can keep my house cool in the summer,brainstorming
200,WHQ,"('what', 'be')",What is wine?,closed_qa
201,QIS,"('be', 'item')","Are the following items candy bars or gum: trident, Twix, hubba bubba, snickers, three musketeers, and wrigleys.",classification
202,WHQ,"('what', 'be')",What's the relation between the Kushan Empire and the Sassanid Empire in Iran?,information_extraction
203,NULL,(),Give me a list of things that pose a challenge to cryptos,brainstorming
204,WHQ,"('what', 'be')",What is the meaning of life?,general_qa
205,NULL,(),"Classify the below characters based on whether they are created by Marvel comics or D.C. comics
 Spider-Man, Iron Man, Captain America, Thor, Doctor Strange, Superman, Batman, Wonder Woman, Flash, Aquaman",classification
206,WHQ,"('why', 'be')",Why are we like aquariums?,general_qa
207,NULL,(),Give me a bulleted list of countries that start with the letter B.,brainstorming
208,NULL,(),"Explain how new technologies, like LLMs and ChatGPT, may revolutionize Application Programming Interfaces (APIs) in the future. Provide an example of how these APIs might work.",creative_writing
209,WHQ,"('who', 'be')",Who are some of the most successful golfers in history?,open_qa
210,WHQ,"('which', 'be')","Which is a bird or fish: Red-throated diver, Redlip blenny",classification
211,NULL,(),Which types of fish contain the lowest levels of mercury?,open_qa
212,WHQ,"('how', 'do')",How do you make an iced matcha latter?,open_qa
213,WHQ,"('what', 'be')",What is world of warcraft,general_qa
214,WHQ,"('what', 'be')",What is the best swimming form?,general_qa
215,WHQ,"('which', 'be')",Which is the best place to Kayak in Austin?,open_qa
216,WHQ,"('who', 'be')",Who is the best men's test cricket player to have come from New Zealand?,general_qa
217,WHQ,"('what', 'be')","What is the winter weather like in Salt Lake City, Utah?",general_qa
218,NULL,(),Whats the difference between a bass guitar and a regular guitar?,open_qa
219,WHQ,"('what', 'be')",What is a Gross domestic product (GDP)?,open_qa
220,WHQ,"('what', 'be')",What is the last festival celebrated in Tihar and how long does the festival last?,closed_qa
221,WHQ,"('what', 'win')",What event John Johnstone won as a rider?,closed_qa
222,WHQ,"('what', 'be')",What are the careers of your dream?,brainstorming
223,NULL,(),Let's imagine I create a fake currency called Yarns with two types of coins: a super-yarn (worth 10 yarns) and a mini-yarn (worth 0.5 yarn). How much money do I have in total if I have 2 super-yarns and three mini-yarns?,open_qa
224,WHQ,"('what', 'be')",What is a Mormon?,open_qa
225,WHQ,"('what', 'be')",What is the difference between a red delicious and a Granny Smith apple?,open_qa
226,NULL,(),List the Pokemon Go regions.,brainstorming
227,WHQ,"('who', 'do')",Who do you think is the most powerful Mandalorian in Star Wars history?,open_qa
228,NULL,(),Based on the following passage summarise how sunsets are viewed from the northern hemisphere across seasons.,information_extraction
229,WHQ,"('what', 'should')",What cities should someone visit during a trip to Morocco?,general_qa
230,WHQ,"('which', 'be')",Which classical composer was deaf?,open_qa
231,WHQ,"('who', 'discover')",Who discovered the double-helix DNA structure?,open_qa
232,NULL,(),Please provide a brief summary describing Canada,summarization
233,WHQ,"('why', 'be')",Why age 27 is given so much importance specially in Music industry?,brainstorming
234,WHQ,"('what', 'be')",What is Bollywood,open_qa
235,WHQ,"('what', 'be')",What are Nanotube?,open_qa
236,NULL,(),Write the first paragraph of a blog post describing the appeal of Boston as a tourist destination,creative_writing
237,WHQ,"('what', 'be')",What is a secured loan?,open_qa
238,NULL,(),Should I have Kids?,open_qa
239,NULL,(),Give me 3 ideas for hobbies that I can recommend to somebody who is retiring. These should all be activities that require gentle movement and are not overly demanding on the body.,brainstorming
240,NULL,(),"Name some reasons it's great to live in Marin County, California.",brainstorming
241,WHQ,"('who', 'be')",Who was the first American to win a Nobel Peace?,open_qa
242,WHQ,"('what', 'be')",What is the FA Cup?,open_qa
243,QIS,"('be', 'elevator')",Are Schindler elevators safe,summarization
244,WHQ,"('what', 'be')",What are the 4 oceans on earth,open_qa
245,DOQ,"('do', 'Potter')",Did Harry Potter put his own name in the goblet of fire?,open_qa
246,WHQ,"('why', 'do')",Why does it help to focus on the breath when practicing mindfulness?,general_qa
247,WHQ,"('what', 'be')",What's the best way to learn how to snowboard?,general_qa
248,WHQ,"('what', 'be')",What was Angie Thomas's first published novel?,open_qa
249,NULL,(),"Based on this paragraph, how many younger siblings did Kennedy have?",closed_qa
250,WHQ,"('what', 'be')",What are some of the common elements of visual design?,information_extraction
251,WHQ,"('what', 'be')",What is the difference between a shrub and a tree?,open_qa
252,NULL,(),"As an expert skier, what are the top resorts in the US to go skiing?",classification
253,WHQ,"('which', 'belong')","Which characters belong to DC or Marvel Universe? Hulk, Spectre",classification
254,NULL,(),"Extract why Tim Lincecum was called ""The Freak""",information_extraction
255,WHQ,"('which', 'win')",Which players won the men's singles grand slam tennis tournaments in 2022.,open_qa
256,NULL,(),Can you tell me something about Stanley J. Goldberg,closed_qa
257,NULL,(),Please summarize the causes and cure for color blindness given in the passage?,summarization
258,WHQ,"('how', 'can')",How can I improve my finances?,brainstorming
259,WHQ,"('what', 'be')",What is Zenthoefer Furs,summarization
260,WHQ,"('what', 'be')",What are the three branches of the US Federal Government?,open_qa
261,NULL,(),"When rock climbing, what is the difference between lead climbing and top rope climbing?",general_qa
262,WHQ,"('which', 'be')",Which is a species of fish? Mola mola or Molar,classification
263,NULL,(),"Imagine a world where life expectancy is fixed and the same for everyone at birth, yet people can engage in life expectancy ""donation"" – meaning that someone can extend your life three years longer at the expense of theirs. Talk about a likely scenario in this world that involves manipulated, coerced donation.",creative_writing
264,WHQ,"('what', 'make')",What makes a good sales account executive?,general_qa
265,NULL,(),"Which of the following are colors: red, black, yellow, orange, sun, sunflower, chips, book, white, pink, blue, keyboard.",classification
266,NULL,(),Think up some openings for beginners to the game of Chess,creative_writing
267,NULL,(),Give me a list of popular current artists in the EDM category.,brainstorming
268,WHQ,"('which', 'would')","Which sports would be easiest to find success in if you’re not tall: baseball, soccer, basketball, bowling.",classification
269,WHQ,"('what', 'be')",What is the appeal of Flathead Lake as a Summer vacation destination?,creative_writing
270,WHQ,"('what', 'be')",What's the difference between tennis and pickleball?,open_qa
271,WHQ,"('what', 'be')",What is Linux?,information_extraction
272,NULL,(),"Given a reference text about Jen Shah, what is she famous from, when was she criminally charged, what was the verdict, and when was she sentenced.",closed_qa
273,WHQ,"('what', 'be')",What are the classifications of Academic Degrees?,classification
274,NULL,(),What types of problems in government could AI be used to solve,closed_qa
275,WHQ,"('why', 'be')",Why isn't multi-threading making my Python code faster? How can I fix it.,general_qa
276,WHQ,"('who', 'be')",Who is the best NBA player of all time?,open_qa
277,NULL,(),"Classify each as either a vodka drink or a gin drink: Screwdriver, Bloody Mary, French 75, White Russian, Gimlet, Cosmopolitan, Tom Collins, Negroni",classification
278,WHQ,"('how', 'can')",How can I get better performance when querying a delta table?,general_qa
279,NULL,(),Which coin of U.S currency has the most ridges.,open_qa
280,WHQ,"('who', 'be')",Who was the first woman to have four country albums reach No. 1 on the Billboard 200?,open_qa
281,NULL,(),"From the passage provided, extract the state Lincoln was born in",information_extraction
282,WHQ,"('what', 'be')",What is FIFA?,summarization
283,WHQ,"('why', 'be')",why is Mahatma Gandhi loved by everyone?,general_qa
284,WHQ,"('what', 'be')",What is Game of Thrones based on?,open_qa
285,WHQ,"('what', 'be')",What are the benefits of collaborating on a tech blog with your customers?,brainstorming
286,NULL,(),"Given this paragraph, how many public high schools are in Arlington, Virginia?",closed_qa
287,WHQ,"('what', 'be')",What are all of the professional baseball teams in the state of Florida?,open_qa
288,NULL,(),"Given the reference text about the Cy Young Award, please describe what the award is and why it is awarded.",closed_qa
289,NULL,(),Extract what is Top Gun,information_extraction
290,NULL,(),Where to find the best croissant in San Francisco?,general_qa
291,DOQ,"('do', 'cat')",Do cats have nine lives?,open_qa
292,WHQ,"('what', 'be')",What is Microsoft?,information_extraction
293,WHQ,"('how', 'do')",How do you make soap?,open_qa
294,WHQ,"('how', 'would')",How would I get from an upstairs apartment to the parking garage?,general_qa
295,WHQ,"('what', 'be')",What are three most commonly sung lyric soprano arias?,brainstorming
296,NULL,(),Cases of Anthrax were found in Kerala in which animals?,open_qa
297,NULL,(),"Categorize the following Taylor Swift songs based on what album they are in: The Archer, tolerate it, Lover, Love Story (Taylor's Version), Bejeweled, Don't Blame Me, 22 (Taylor's version), Look What You Made Me Do, Lavender Haze, willow, Cruel Summer",classification
298,NULL,(),"I'm creating a class to explain to kids the difference between items that are powered and can be plugged in and items that aren't. Please divide the following things into those you can plug in and those that you can't: table, hairdryer, television, chair, computer, fridge, comb, flowers.",classification
299,NULL,(),Can you describe what team effectiveness is?,summarization
300,NULL,(),"From the passage below, extract the names of the companies and technologies that Walmart has acquired over the last 3 years.",information_extraction
301,NULL,(),"Tell whether these are countries, cities, continents or neither: Australia, Mexico, Mexico city, Antartica, Singapore, India, Gulf, Beijing, Jakarta, Luxembourg, Vatican City",classification
302,WHQ,"('why', 'do')",Why do people like gardening?,general_qa
303,NULL,(),I am on a week long vacation to India and specifically want to explore Himalayan state of Himachal Pradesh. How should I plan my trip ?,general_qa
304,NULL,(),"From the passage provided, extract the second studio album that Taylor Swift released.",information_extraction
305,NULL,(),Is there a World Taekwondo Grand Prix,open_qa
306,NULL,(),"Based on the provided text, place the following books in chronological order: 
The Fox in the Attic, In Hazard: A Sea Story, A High Wind in Jamaica, and The Wooden Shepherdess",closed_qa
307,WHQ,"('what', 'be')",What is the best way to invest my money?,general_qa
308,DOQ,"('do', 'Lucas')",Do George Lucas and Steven Spielberg know each other?,open_qa
309,NULL,(),Give me a list of the best bravo tv shows,brainstorming
310,WHQ,"('what', 'be')",What are the official languages of the United Nations?,closed_qa
311,NULL,(),What type of weather is San Francisco famous for?,open_qa
312,WHQ,"('what', 'make')",What makes for a good photograph?,general_qa
313,WHQ,"('what', 'be')",What's the game engine used by Bethesda before Creation Engine? And what's the last game make with it?,closed_qa
314,NULL,(),"From the passage provided, extract the languages in which Kishore Kumar provided his vocals as a playback singer. Separate them with a comma.",information_extraction
315,WHQ,"('what', 'be')",What are some movies that star Will Ferrell?,open_qa
316,WHQ,"('what', 'be')",What is the plot of Harry Potter?,open_qa
317,WHQ,"('what', 'be')",What is the old name for The Go Between Bridge?,closed_qa
318,NULL,(),Can I make chocolate at home?,creative_writing
319,WHQ,"('how', 'do')",How did Alfred Nobel make his money,open_qa
320,WHQ,"('what', 'be')",What is the Trans Tahoe Relay?,open_qa
321,WHQ,"('when', 'be')",When was the 8088 processor released?,information_extraction
322,WHQ,"('how', 'do')",How do you prepare for case study interview for digital transformation case?,general_qa
323,NULL,(),"Identify which instrument is string or woodwind: Wheelharp, Clarinet",classification
324,WHQ,"('which', 'make')",Which country makes the best coffee in the world?,general_qa
325,NULL,(),"Based on the reference text about Bitcoin, how many countries have banned Bitcoin?",closed_qa
326,WHQ,"('what', 'be')",What was the Underground Railroad?,closed_qa
327,NULL,(),"Given this paragraph on LeBron James' early career, when did he win his first NBA MVP?",closed_qa
328,WHQ,"('what', 'be')",What are the best social media sites,brainstorming
329,NULL,(),How many musicians performed in the world's largest rock band?,open_qa
330,WHQ,"('how', 'have')",How has the video gaming industry evolved over the years ?,general_qa
331,NULL,(),Give me a list of recommendations to quickly heal from an achilles rupture surgery.,brainstorming
332,WHQ,"('which', 'be')",Which team was relegated from the league at the conclusion of the 1991 Season?,information_extraction
333,WHQ,"('what', 'be')",What percussion instruments are easy to learn?,brainstorming
334,NULL,(),"Tell me whether these cities are in Texas: Austin, Houston, New York, Chicago, Miami, Dallas",classification
335,NULL,(),Name all the books in the Harry Potter collection,open_qa
336,NULL,(),"Tell me whether you drive on the right or left side of the road in these countries: USA, Mexico, Spain, England, New Zealand, Japan",classification
337,WHQ,"('why', 'should')",Why should we ban artificial sweeteners like aspartame?,creative_writing
338,NULL,(),Give me some ideas of kids items to stuff into Easter eggs.,brainstorming
